ZX80 Foils 1.8 hole locations
X,Y,DIAMETER coordinates from bottom left index.
86.7,148.0,1.0
86.7,145.5,1.0
86.7,143.0,1.0
94.5,135.4,1.0
94.5,132.9,1.0
94.5,130.3,1.0
94.5,127.8,1.0
94.5,125.2,1.0
94.5,122.7,1.0
94.5,120.1,1.0
94.5,117.6,1.0
94.5,115.0,1.0
86.7,135.4,1.0
86.7,132.9,1.0
86.7,130.3,1.0
86.7,127.8,1.0
86.7,125.2,1.0
86.7,122.7,1.0
86.7,120.1,1.0
86.7,117.6,1.0
86.7,115.0,1.0
32.3,165.9,1.0
32.3,163.3,1.0
32.3,160.8,1.0
32.3,158.2,1.0
32.3,155.7,1.0
32.3,153.1,1.0
32.3,150.6,1.0
32.3,148.0,1.0
32.3,145.5,1.0
24.6,165.9,1.0
24.6,163.3,1.0
24.6,160.8,1.0
24.6,158.2,1.0
24.6,155.7,1.0
24.6,153.1,1.0
24.6,150.6,1.0
24.6,148.0,1.0
24.6,145.5,1.0
18.2,165.9,1.0
18.2,163.3,1.0
18.2,160.8,1.0
18.2,158.2,1.0
18.2,155.7,1.0
18.2,153.1,1.0
18.2,150.6,1.0
18.2,148.0,1.0
18.2,145.5,1.0
32.3,136.6,1.0
32.3,134.0,1.0
32.3,131.5,1.0
32.3,128.9,1.0
32.3,126.4,1.0
32.3,123.9,1.0
32.3,121.3,1.0
32.3,118.8,1.0
18.2,136.6,1.0
18.2,134.0,1.0
18.2,131.5,1.0
18.2,128.9,1.0
18.2,126.4,1.0
18.2,123.9,1.0
18.2,121.3,1.0
18.2,118.8,1.0
10.6,136.6,1.0
10.6,134.0,1.0
10.6,131.5,1.0
10.6,128.9,1.0
10.6,126.4,1.0
10.6,123.9,1.0
10.6,121.3,1.0
10.6,118.8,1.0
146.0,134.6,1.0
146.0,145.6,1.0
149.9,150.2,1.0
149.9,152.9,1.0
152.6,166.8,1.0
151.3,163.8,1.0
148.8,163.7,1.0
146.7,162.3,1.0
145.0,160.8,1.0
144.4,182.4,1.0
144.4,179.0,1.0
144.4,176.0,1.0
141.9,176.0,1.0
137.4,176.0,1.0
140.4,185.6,1.0
135.4,185.6,1.0
133.5,182.3,1.0
133.5,179.1,1.0
132.5,176.0,1.0
129.4,175.2,1.0
129.4,178.4,1.0
129.4,181.6,1.0
129.4,172.0,1.0
129.4,184.8,1.0
118.2,184.8,1.0
118.2,181.6,1.0
118.3,178.4,1.0
118.4,175.2,1.0
118.4,172.0,1.0
111.6,171.2,1.0
108.9,171.2,1.0
106.1,171.2,1.0
102.8,171.2,1.0
97.1,180.3,1.0
98.8,178.5,1.0
95.4,176.5,1.0
92.9,174.8,1.0
90.1,173.6,1.0
91.3,169.4,1.0
88.8,167.9,1.0
87.0,172.8,1.0
83.1,173.8,1.0
84.8,178.3,1.0
85.8,181.0,1.0
79.6,171.2,1.0
86.5,166.7,1.0
87.1,183.0,1.0
86.0,185.3,1.0
86.0,187.8,1.0
87.3,189.9,1.0
97.1,185.0,1.0
70.0,173.7,1.0
65.0,170.3,1.0
62.5,170.3,1.0
63.2,173.0,1.0
50.9,169.2,1.0
52.6,173.0,1.0
52.5,163.5,1.0
49.5,163.5,1.0
65.8,181.0,1.0
116.1,162.0,1.0
121.1,162.0,1.0
117.8,152.2,1.0
117.1,135.7,1.0
103.2,135.0,1.0
96.4,137.8,1.0
98.8,140.4,1.0
91.8,138.8,1.0
86.7,138.8,1.0
88.8,141.1,1.0
83.9,140.7,1.0
79.2,141.6,1.0
79.1,136.4,1.0
79.0,147.9,1.0
79.1,131.1,1.0
81.7,127.6,1.0
77.9,127.6,1.0
82.9,122.1,1.0
79.2,123.8,1.0
121.4,120.1,1.0
121.4,116.1,1.0
128.7,115.3,1.0
128.4,109.9,1.0
119.8,112.1,1.0
117.2,113.3,1.0
146.2,107.4,1.0
133.0,104.9,1.0
139.5,100.3,1.0
143.2,100.3,1.0
143.2,89.5,1.0
139.4,85.0,1.0
141.8,85.0,1.0
144.4,85.0,1.0
143.9,81.9,1.0
140.8,81.8,1.0
145.8,79.8,1.0
144.5,72.3,1.0
135.4,72.3,1.0
132.4,72.3,1.0
130.7,68.9,1.0
123.2,72.3,1.0
120.2,72.3,1.0
111.4,72.3,1.0
108.4,72.3,1.0
99.3,72.3,1.0
96.3,72.3,1.0
87.5,72.3,1.0
84.5,72.3,1.0
75.5,72.3,1.0
72.4,72.3,1.0
63.4,72.3,1.0
60.4,72.3,1.0
51.4,72.3,1.0
48.4,72.3,1.0
39.3,72.3,1.0
36.3,72.3,1.0
38.3,75.4,1.0
38.1,78.6,1.0
44.0,78.7,1.0
44.0,75.4,1.0
32.9,80.7,1.0
27.1,78.7,1.0
27.2,75.3,1.0
27.1,72.1,1.0
20.8,78.7,1.0
20.9,75.3,1.0
20.8,72.1,1.0
9.6,78.7,1.0
9.7,75.3,1.0
9.6,72.1,1.0
2.8,80.8,1.0
10.6,68.4,1.0
26.6,68.4,1.0
55.0,75.3,1.0
49.5,77.9,1.0
60.0,77.9,1.0
64.6,80.4,1.0
76.1,81.2,1.0
80.9,78.6,1.0
98.0,81.7,1.0
101.6,81.2,1.0
108.3,78.0,1.0
111.4,78.0,1.0
116.4,78.0,1.0
120.3,78.0,1.0
76.0,114.1,1.0
79.1,112.8,1.0
83.3,111.0,1.0
79.1,108.5,1.0
76.0,108.5,1.0
71.9,107.0,1.0
93.5,106.3,1.0
97.4,109.2,1.0
99.6,111.3,1.0
97.5,112.8,1.0
90.6,113.8,1.0
94.5,112.5,1.0
86.7,112.5,1.0
79.0,154.4,1.0
80.0,159.6,1.0
83.5,160.7,1.0
100.1,159.1,1.0
102.3,148.7,1.0
51.4,147.2,1.0
51.4,143.6,1.0
51.4,140.1,1.0
51.4,136.2,1.0
48.5,139.1,1.0
48.5,143.0,1.0
48.5,146.7,1.0
48.5,150.6,1.0
48.6,135.3,1.0
45.0,136.5,1.0
44.6,132.4,1.0
48.7,131.5,1.0
